mach,cd
9.94,1.882923
9.95,1.882897
9.96,1.882871
9.97,1.882845
9.98,1.882819
9.99,1.882793
10,1.882767
10.01,1.882793
10.02,1.882816
10.03,1.882839
10.04,1.882862
10.05,1.882885
10.06,1.882907
10.07,1.882929
10.08,1.882951
10.09,1.882974
10.1,1.882996
10.11,1.883019
10.12,1.883041
10.13,1.883063
10.14,1.883085
10.15,1.883106
10.16,1.883129
10.17,1.88315
10.18,1.883173
10.19,1.883194
10.2,1.883216
10.21,1.883237
10.22,1.883259
10.23,1.88328
10.24,1.883301
10.25,1.883322
10.26,1.883344
10.27,1.883365
10.28,1.883386
10.29,1.883407
10.3,1.883428
10.31,1.883448
10.32,1.883469
10.33,1.88349
10.34,1.883511
10.35,1.883532
10.36,1.883552
10.37,1.883572
10.38,1.883593
10.39,1.883613
10.4,1.883634
10.41,1.883653
10.42,1.883674
10.43,1.883694
10.44,1.883714
10.45,1.883734
10.46,1.883754
10.47,1.883774
10.48,1.883793
10.49,1.883813
10.5,1.883832
10.51,1.883852
10.52,1.883871
10.53,1.883891
10.54,1.88391
10.55,1.88393
10.56,1.883949
10.57,1.883968
10.58,1.883987
10.59,1.884007
10.6,1.884026
10.61,1.884045
10.62,1.884064
10.63,1.884083
10.64,1.884102
10.65,1.884121
10.66,1.884139
10.67,1.884158
10.68,1.884176
10.69,1.884194
10.7,1.884213
10.71,1.884232
10.72,1.88425
10.73,1.884269
10.74,1.884287
10.75,1.884305
10.76,1.884323
10.77,1.884341
10.78,1.884359
10.79,1.884377
10.8,1.884395
10.81,1.884413
10.82,1.884431
10.83,1.884448
10.84,1.884467
10.85,1.884484
10.86,1.884501
10.87,1.88452
10.88,1.884536
10.89,1.884554
10.9,1.884572
10.91,1.884589
10.92,1.884606
10.93,1.884624
10.94,1.88464
10.95,1.884658
10.96,1.884675
10.97,1.884692
10.98,1.884709
10.99,1.884726
11,1.884743
11.01,1.88476
11.02,1.884777
11.03,1.884794
11.04,1.88481
11.05,1.884827
11.06,1.884843
11.07,1.884859
11.08,1.884877
11.09,1.884893
11.1,1.884909
11.11,1.884926
11.12,1.884942
11.13,1.884959
11.14,1.884974
11.15,1.884991
11.16,1.885007
11.17,1.885023
11.18,1.885039
11.19,1.885055
11.2,1.885071
11.21,1.885086
11.22,1.885102
11.23,1.885118
11.24,1.885134
11.25,1.88515
11.26,1.885166
11.27,1.885182
11.28,1.885196
11.29,1.885212
11.3,1.885228
11.31,1.885244
11.32,1.885259
11.33,1.885274
11.34,1.885289
11.35,1.885304
11.36,1.885319
11.37,1.885335
11.38,1.88535
11.39,1.885365
11.4,1.88538
11.41,1.885395
11.42,1.885411
11.43,1.885425
11.44,1.88544
11.45,1.885455
11.46,1.88547
11.47,1.885484
11.48,1.885499
11.49,1.885513
11.5,1.885528
11.51,1.885543
11.52,1.885558
11.53,1.885572
11.54,1.885586
11.55,1.885601
11.56,1.885615
11.57,1.88563
11.58,1.885644
11.59,1.885658
11.6,1.885673
11.61,1.885687
11.62,1.885701
11.63,1.885715
11.64,1.885729
11.65,1.885743
11.66,1.885757
11.67,1.885771
11.68,1.885785
11.69,1.885799
11.7,1.885812
11.71,1.885826
11.72,1.88584
11.73,1.885853
11.74,1.885868
11.75,1.885881
11.76,1.885895
11.77,1.885908
11.78,1.885922
11.79,1.885935
11.8,1.885949
11.81,1.885963
11.82,1.885975
11.83,1.885989
11.84,1.886003
11.85,1.886015
11.86,1.886029
11.87,1.886042
11.88,1.886055
11.89,1.886069
11.9,1.886081
11.91,1.886094
11.92,1.886107
11.93,1.88612
11.94,1.886133
11.95,1.886146
11.96,1.886159
11.97,1.886172
11.98,1.886184
11.99,1.886197
12,1.886211
12.01,1.886223
12.02,1.886236
12.03,1.886248
12.04,1.886261
12.05,1.886274
12.06,1.886286
12.07,1.886298
12.08,1.886311
12.09,1.886323
12.1,1.886336
12.11,1.886348
12.12,1.88636
12.13,1.886373
12.14,1.886385
12.15,1.886397
12.16,1.88641
12.17,1.886422
12.18,1.886434
12.19,1.886446
12.2,1.886458
12.21,1.88647
12.22,1.886483
12.23,1.886494
12.24,1.886506
12.25,1.886518
12.26,1.88653
12.27,1.886542
12.28,1.886553
12.29,1.886565
12.3,1.886577
12.31,1.886589
12.32,1.8866
12.33,1.886612
12.34,1.886624
12.35,1.886635
12.36,1.886647
12.37,1.886658
12.38,1.88667
12.39,1.886682
12.4,1.886693
12.41,1.886705
12.42,1.886716
12.43,1.886727
12.44,1.886739
12.45,1.88675
12.46,1.886761
12.47,1.886773
12.48,1.886784
12.49,1.886795
12.5,1.886806
12.51,1.886817
12.52,1.886829
12.53,1.886839
12.54,1.886851
12.55,1.886861
12.56,1.886873
12.57,1.886883
12.58,1.886895
12.59,1.886905
12.6,1.886916
12.61,1.886927
12.62,1.886937
12.63,1.886948
12.64,1.88696
12.65,1.88697
12.66,1.88698
12.67,1.886991
12.68,1.887002
12.69,1.887013
12.7,1.887023
12.71,1.887034
12.72,1.887044
12.73,1.887055
12.74,1.887065
12.75,1.887076
12.76,1.887086
12.77,1.887097
12.78,1.887107
12.79,1.887117
12.8,1.887128
12.81,1.887138
12.82,1.887148
12.83,1.887158
12.84,1.887169
12.85,1.887179
12.86,1.887189
12.87,1.887199
12.88,1.887209
12.89,1.88722
12.9,1.88723
12.91,1.88724
12.92,1.88725
12.93,1.88726
12.94,1.887269
12.95,1.88728
12.96,1.887289
12.97,1.887299
12.98,1.887309
12.99,1.887319
13,1.887329
13.01,1.887338
13.02,1.887349
13.03,1.887358
13.04,1.887368
13.05,1.887377
13.06,1.887387
13.07,1.887397
13.08,1.887406
13.09,1.887416
13.1,1.887426
13.11,1.887435
13.12,1.887445
13.13,1.887455
13.14,1.887464
13.15,1.887473
13.16,1.887483
13.17,1.887492
13.18,1.887502
13.19,1.887511
13.2,1.887521
13.21,1.887529
13.22,1.887539
13.23,1.887548
13.24,1.887557
13.25,1.887567
13.26,1.887576
13.27,1.887585
13.28,1.887594
13.29,1.887603
13.3,1.887612
13.31,1.887621
13.32,1.887631
13.33,1.88764
13.34,1.887649
13.35,1.887658
13.36,1.887667
13.37,1.887676
13.38,1.887684
13.39,1.887694
13.4,1.887703
13.41,1.887712
13.42,1.88772
13.43,1.88773
13.44,1.887738
13.45,1.887747
13.46,1.887756
13.47,1.887764
13.48,1.887773
13.49,1.887782
13.5,1.88779
13.51,1.8878
13.52,1.887808
13.53,1.887817
13.54,1.887825
13.55,1.887833
13.56,1.887842
13.57,1.887851
13.58,1.887859
13.59,1.887868
13.6,1.887876
13.61,1.887885
13.62,1.887893
13.63,1.887902
13.64,1.88791
13.65,1.887918
13.66,1.887927
13.67,1.887935
13.68,1.887944
13.69,1.887951
13.7,1.88796
13.71,1.887968
13.72,1.887977
13.73,1.887984
13.74,1.887993
13.75,1.888001
13.76,1.888009
13.77,1.888018
13.78,1.888026
13.79,1.888034
13.8,1.888041
13.81,1.888049
13.82,1.888058
13.83,1.888066
13.84,1.888074
13.85,1.888082
13.86,1.88809
13.87,1.888098
13.88,1.888105
13.89,1.888113
13.9,1.888122
13.91,1.88813
13.92,1.888138
13.93,1.888146
13.94,1.888153
13.95,1.888161
13.96,1.888168
13.97,1.888177
13.98,1.888184
13.99,1.888192
14,1.8882
14.01,1.888207
14.02,1.888215
14.03,1.888223
14.04,1.88823
14.05,1.888239
14.06,1.888246
14.07,1.888253
14.08,1.888261
14.09,1.888269
14.1,1.888276
14.11,1.888284
14.12,1.888291
14.13,1.888299
14.14,1.888306
14.15,1.888313
14.16,1.888321
14.17,1.888328
14.18,1.888336
14.19,1.888343
14.2,1.888351
14.21,1.888357
14.22,1.888365
14.23,1.888373
14.24,1.88838
14.25,1.888387
14.26,1.888394
14.27,1.888402
14.28,1.888409
14.29,1.888416
14.3,1.888423
14.31,1.888431
14.32,1.888437
14.33,1.888445
14.34,1.888452
14.35,1.88846
14.36,1.888466
14.37,1.888473
14.38,1.888481
14.39,1.888488
14.4,1.888494
14.41,1.888501
14.42,1.888508
14.43,1.888515
14.44,1.888523
14.45,1.88853
14.46,1.888537
14.47,1.888544
14.48,1.88855
14.49,1.888557
14.5,1.888564
14.51,1.888571
14.52,1.888577
14.53,1.888584
14.54,1.888591
14.55,1.888598
14.56,1.888605
14.57,1.888611
14.58,1.888618
14.59,1.888625
14.6,1.888631
14.61,1.888639
14.62,1.888646
14.63,1.888652
14.64,1.888659
14.65,1.888666
14.66,1.888672
14.67,1.888678
14.68,1.888686
14.69,1.888692
14.7,1.888699
14.71,1.888705
14.72,1.888711
14.73,1.888719
14.74,1.888725
14.75,1.888731
14.76,1.888737
14.77,1.888744
14.78,1.888751
14.79,1.888757
14.8,1.888764
14.81,1.88877
14.82,1.888776
14.83,1.888783
14.84,1.888789
14.85,1.888796
14.86,1.888802
14.87,1.888808
14.88,1.888815
14.89,1.888821
14.9,1.888828
14.91,1.888833
14.92,1.88884
14.93,1.888846
14.94,1.888853
14.95,1.888859
14.96,1.888865
14.97,1.888871
14.98,1.888878
14.99,1.888883
15,1.88889
15.01,1.888895
15.02,1.888902
15.03,1.888908
15.04,1.888914
15.05,1.88892
15.06,1.888927
15.07,1.888932
15.08,1.888939
15.09,1.888945
15.1,1.88895
15.11,1.888957
15.12,1.888963
15.13,1.888968
15.14,1.888974
15.15,1.888981
15.16,1.888987
15.17,1.888992
15.18,1.888998
15.19,1.889004
15.2,1.88901
15.21,1.889016
15.22,1.889022
15.23,1.889028
15.24,1.889033
